id;tracking_code;date;details;invoice_id
1;Mouse Villages;2021-07-01T10:04:01;unleash integrate;1
2;Gloves Account Belarussian;2021-07-01T20:04:22;Orchestrator Stravenue;2
3;Gorgeous Checking;2021-07-01T01:22:54;SSL zero;3
4;user-facing turquoise;2021-07-01T15:13:02;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2021-07-01T02:40:55;Viaduct Bedfordshire;5
6;Shoes Avon;2021-07-01T22:02:28;Lilangeni;6
7;Music Handmade;2021-07-01T07:40:06;Estate red;7
8;Officer mobile Specialist;2021-07-01T17:30:09;system;8
9;bypass;2021-07-01T23:02:27;Streamlined;9
10;invoice Quality-focused hack;2021-07-01T03:23:16;wireless Borders;10
