id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-07-01T17:35:37;Loop;CANCELLED;PAYPAL;2021-07-01T11:56:02;22604
2;calculating;2021-07-01T18:04:00;haptic 1080p;ISSUED;PAYPAL;2021-07-01T05:17:40;10489
3;national Frozen Berkshire;2021-07-01T18:18:50;Account Borders Home;PAID;CREDIT_CARD;2021-07-01T09:01:41;36325
4;monitor;2021-07-01T04:21:26;parse intuitive Division;CANCELLED;PAYPAL;2021-07-01T05:56:27;13687
5;synergy transmitting;2021-07-01T04:23:41;parse Gloves;ISSUED;PAYPAL;2021-07-01T13:00:19;92472
6;function;2021-07-01T09:17:09;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-07-01T20:24:10;26944
7;Maine;2021-07-01T19:43:32;RAM;ISSUED;PAYPAL;2021-07-02T00:45:24;32458
8;Analyst Agent;2021-07-01T23:38:14;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-07-01T20:39:56;79389
9;Salad;2021-07-01T05:46:56;Gorgeous;ISSUED;CREDIT_CARD;2021-07-01T14:33:20;62169
10;Pants Wooden Intuitive;2021-07-01T15:10:53;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-07-01T11:05:30;58737
